                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7203,                 2.9409,                 1.6718,                 0.0038,                    0.9,                0.09238,                0.03622,                 2.2148,                 3.9372,                 2.0719,             0.00064706,             0.00064706,             0.00064706
                      2,                  1.543,                 2.0048,                 1.4816,                0.20807,                   0.05,                0.03651,                0.01158,                 3.2599,                 4.5489,                 3.3632,              0.0012934,              0.0012934,              0.0012934
                      3,                 1.5582,                 1.7373,                 1.5065,                0.33323,                0.32895,                 0.2977,                0.14922,                 1.7488,                 7.0463,                 1.9182,              0.0019191,              0.0019191,              0.0019191
                      4,                 1.5109,                 1.5292,                 1.4548,                0.34653,                0.41866,                0.31891,                0.15617,                 1.7261,                 2.4449,                 1.6569,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.4398,                 1.4001,                 1.4051,                0.34848,                0.19211,                0.20839,                0.10455,                   2.07,                 2.6117,                 1.8543,              0.0018763,              0.0018763,              0.0018763
                      6,                 1.4178,                 1.3052,                 1.3963,                0.43142,                0.38947,                0.37143,                0.17224,                 1.8619,                  2.395,                  1.822,              0.0018453,              0.0018453,              0.0018453
                      7,                 1.3691,                 1.2153,                  1.362,                0.50295,                0.37368,                0.37751,                0.17485,                 1.9472,                 2.3964,                 1.8675,              0.0018144,              0.0018144,              0.0018144
                      8,                 1.3449,                 1.1464,                 1.3403,                0.58139,                0.58158,                0.56631,                0.30462,                 1.6574,                 1.6575,                 1.5677,              0.0017834,              0.0017834,              0.0017834
                      9,                 1.3625,                 1.1334,                 1.3553,                0.40398,                0.35852,                 0.3091,                0.16334,                 1.8641,                 2.3699,                 1.6946,              0.0017525,              0.0017525,              0.0017525
                     10,                 1.3298,                 1.1288,                 1.3276,                0.51424,                0.54211,                0.48839,                0.26978,                 1.6741,                 1.6344,                 1.5902,              0.0017216,              0.0017216,              0.0017216
                     11,                 1.2834,                 1.0522,                 1.3154,                0.77538,                0.62682,                0.73084,                0.40867,                 1.5696,                 1.2591,                 1.4998,              0.0016906,              0.0016906,              0.0016906
                     12,                 1.2566,                 1.0261,                 1.2854,                0.73101,                0.58421,                 0.6437,                0.34636,                 1.6574,                 1.9445,                 1.6494,              0.0016597,              0.0016597,              0.0016597
                     13,                 1.2243,                0.97527,                 1.2623,                0.74678,                0.64211,                0.71244,                0.38648,                 1.6154,                  1.363,                 1.5898,              0.0016287,              0.0016287,              0.0016287
                     14,                 1.1981,                0.93191,                 1.2529,                0.86767,                0.68421,                0.80741,                0.47339,                 1.4629,                 1.0911,                 1.4584,              0.0015978,              0.0015978,              0.0015978
                     15,                 1.2105,                0.93755,                  1.249,                0.81971,                0.74183,                0.81093,                0.46917,                 1.4683,                 1.0049,                 1.4622,              0.0015669,              0.0015669,              0.0015669
                     16,                 1.1651,                0.86808,                 1.2314,                0.83043,                0.71316,                0.79587,                0.46281,                 1.5035,                  1.091,                  1.455,              0.0015359,              0.0015359,              0.0015359
