patient_id,best_segment,fitness,precision_B,recall_B,mAP50_B,mAP50-95_B,precision_M,recall_M,mAP50_M,mAP50-95_M
128,60-80%,0.6952176181709065,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176094055176,0.6952176094055176
137,40-60%,0.9270924180746078,0.92709243,0.92709243,0.92709243,0.92709243,0.92709243,0.92709243,0.92709243,0.92709243
141,40-60%,0.9235548456509908,0.92355484,0.92355484,0.92355484,0.92355484,0.92355484,0.92355484,0.92355484,0.92355484
151,0-20%,0.5119421113105047,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5362987518310547,0.5362987518310547
153,40-60%,0.905522210257394,0.9055223,0.9055223,0.9055223,0.9055223,0.9055223,0.9055223,0.9055223,0.9055223
157,40-60%,0.9033313341762708,0.90333134,0.90333134,0.90333134,0.90333134,0.90333134,0.90333134,0.90333134,0.90333134
159,40-60%,0.6766761839389801,0.67667615,0.67667615,0.67667615,0.67667615,0.67667615,0.67667615,0.67667615,0.67667615
161,20-40%,0.8816264470418295,0.8816264,0.8816264,0.8816264,0.8816264,0.8816264,0.8816264,0.8816264,0.8816264
169,40-60%,0.9166080753008524,0.9166081,0.9166081,0.9166081,0.9166081,0.9166081,0.9166081,0.9166081,0.9166081
183,20-40%,0.9303090669387994,0.93030906,0.93030906,0.93030906,0.93030906,0.93030906,0.93030906,0.93030906,0.93030906
188,20-40%,0.8906681976820293,0.8906683,0.8906683,0.8906683,0.8906683,0.8906683,0.8906683,0.8906683,0.8906683
190,0-20%,0.9079569385897728,0.9079568982124328,0.9079568982124328,0.9079568982124328,0.9079568982124328,0.9079568982124328,0.9079568982124328,0.9079568982124328,0.9079568982124328
194,40-60%,0.92219540476799,0.92219543,0.92219543,0.92219543,0.92219543,0.92219543,0.92219543,0.92219543,0.92219543
27,60-80%,0.8727819522221884,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819323539734,0.8727819323539734
34,20-40%,0.9047986794920528,0.9047987,0.9047987,0.9047987,0.9047987,0.9047987,0.9047987,0.9047987,0.9047987
39,20-40%,0.762624092400074,0.762624,0.762624,0.762624,0.762624,0.762624,0.762624,0.762624,0.762624
48,40-60%,0.7098259776830673,0.709826,0.709826,0.709826,0.709826,0.709826,0.709826,0.709826,0.709826
49,60-80%,0.878194408757346,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.8781943917274475,0.8781943917274475
4,60-80%,0.6464148461818695,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.7040911912918091,0.7040911912918091
55,60-80%,0.9044458158314228,0.9044457674026488,0.9044457674026488,0.9044457674026488,0.9044457674026488,0.9044457674026488,0.9044457674026488,0.9044457674026488,0.9044457674026488
69,20-40%,0.7940710112452507,0.79407096,0.79407096,0.79407096,0.79407096,0.79407096,0.79407096,0.79407096,0.79407096
75,20-40%,0.6176743590169482,0.6604909,0.6604909,0.6604909,0.6604909,0.6604909,0.6604909,0.6604909,0.6604909
78,40-60%,0.6324326675385237,0.6324327,0.6324327,0.6324327,0.6324327,0.6324327,0.6324327,0.6324327,0.6324327
83,60-80%,0.9254249473412832,0.9254249334335328,0.9254249334335328,0.9254249334335328,0.9254249334335328,0.9254249334335328,0.9254249334335328,0.9254249334335328,0.9254249334335328
87,0-20%,0.4686691899384771,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4998922348022461,0.4998922348022461
8,40-60%,0.891355427828702,0.89135545,0.89135545,0.89135545,0.89135545,0.89135545,0.89135545,0.89135545,0.89135545
91,40-60%,0.8519048094749451,0.85190475,0.85190475,0.85190475,0.85190475,0.85190475,0.85190475,0.85190475,0.85190475
97,20-40%,0.9041326575809054,0.9041326,0.9041326,0.9041326,0.9041326,0.9041326,0.9041326,0.9041326,0.9041326
99,40-60%,0.9335538148880004,0.9335539,0.9335539,0.9335539,0.9335539,0.9335539,0.9335539,0.9335539,0.9335539
9,80-100%,0.905623326698939,0.90562326,0.90562326,0.90562326,0.90562326,0.90562326,0.90562326,0.90562326,0.90562326
Average,N/A,0.8185047323417093,0.8236896413051826,0.8236896413051826,0.8236896413051826,0.8236896413051826,0.8236896413051826,0.8236896413051826,0.8236896413051826,0.8236896413051826
