                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3236,                 2.2375,                 2.1782,                 1.3537,                0.59249,                0.56014,                0.55389,                0.29195,                0.60129,                0.56781,                0.56005,                0.28607,                 1.5979,                 2.5515,                 2.1524,                 1.4832,              0.0033281,              0.0033281,              0.0033281
                      2,                  1.199,                 1.8555,                 1.2585,                 1.2163,                0.63951,                0.61089,                 0.6279,                0.32716,                0.64792,                0.61243,                0.62943,                0.33375,                  1.693,                 2.5253,                 1.6406,                 1.5558,              0.0065584,              0.0065584,              0.0065584
                      3,                 1.2362,                 1.8822,                 1.0776,                   1.25,                0.70188,                0.45985,                0.53349,                  0.289,                0.69209,                0.46253,                0.53038,                0.28549,                 1.8064,                 2.8934,                 1.8501,                 1.6792,              0.0096855,              0.0096855,              0.0096855
                      4,                 1.2525,                 1.8977,                 1.0212,                  1.267,                0.53845,                0.45924,                0.45314,                0.20238,                0.51495,                0.44848,                 0.4194,                0.18221,                 2.0435,                 3.7535,                 1.8438,                 1.8039,              0.0095359,              0.0095359,              0.0095359
                      5,                 1.1689,                 1.7749,                0.87737,                 1.2137,                0.70571,                 0.6641,                0.69577,                0.35569,                0.70278,                0.65887,                0.68558,                0.34569,                 1.7947,                 2.7271,                 1.3838,                 1.6235,              0.0093813,              0.0093813,              0.0093813
                      6,                 1.1133,                 1.7011,                0.79895,                 1.1761,                0.68232,                 0.6558,                0.65034,                0.33625,                0.67889,                0.65293,                0.64227,                0.33299,                  1.817,                 2.7992,                 1.4044,                 1.6688,              0.0092266,              0.0092266,              0.0092266
                      7,                 1.0623,                  1.636,                0.73985,                 1.1466,                0.67853,                0.56813,                0.58348,                0.31899,                0.68272,                0.56967,                0.58524,                0.31743,                  1.769,                 2.7157,                 1.5527,                 1.5959,              0.0090719,              0.0090719,              0.0090719
                      8,                 1.0347,                 1.5964,                0.69671,                 1.1303,                0.67887,                0.64626,                0.66005,                0.35816,                0.68757,                 0.6395,                 0.6558,                0.35307,                 1.7831,                 2.5587,                 1.3272,                 1.6274,              0.0089172,              0.0089172,              0.0089172
                      9,                 1.0033,                 1.5501,                0.65926,                 1.1103,                 0.6984,                0.62255,                0.66626,                0.31871,                0.69533,                0.63252,                0.66098,                0.30851,                 1.8877,                 2.6549,                 1.4194,                 1.7227,              0.0087625,              0.0087625,              0.0087625
                     10,                  0.959,                 1.4836,                0.61602,                 1.0842,                0.59727,                0.55197,                0.56864,                0.27743,                0.58039,                0.55337,                0.55147,                0.27615,                 2.0233,                 2.9955,                 1.7098,                 1.9162,              0.0086078,              0.0086078,              0.0086078
