                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3236,                 2.2375,                 2.1782,                 1.3537,                0.59249,                0.56014,                0.55389,                0.29195,                0.60129,                0.56781,                0.56005,                0.28607,                 1.5979,                 2.5515,                 2.1524,                 1.4832,              0.0033281,              0.0033281,              0.0033281
                      2,                 1.2024,                 1.8632,                 1.2698,                 1.2187,                0.63721,                0.62473,                0.61304,                0.32711,                0.63958,                0.63426,                0.61998,                0.33008,                 1.6212,                  2.421,                 1.6883,                 1.4932,              0.0065955,              0.0065955,              0.0065955
                      3,                 1.2314,                 1.8889,                 1.0857,                 1.2459,                 0.5186,                0.46657,                0.47214,                0.23756,                0.52176,                0.45438,                0.45903,                0.23315,                 2.0875,                 3.1496,                 2.0099,                 2.0307,              0.0097968,              0.0097968,              0.0097968
                      4,                 1.2556,                 1.9043,                 1.0237,                 1.2654,                0.49648,                0.29683,                0.29429,                0.14745,                0.51109,                0.28114,                0.26574,                0.12999,                 2.4244,                 6.4424,                 2.4645,                 1.9283,               0.009703,               0.009703,               0.009703
                      5,                 1.1722,                 1.7872,                0.88822,                 1.2137,                0.66444,                0.62165,                0.64191,                 0.3265,                0.66481,                 0.6398,                0.64746,                0.32947,                 1.7864,                 2.6441,                 1.4335,                 1.6738,               0.009604,               0.009604,               0.009604
                      6,                  1.117,                 1.7091,                0.80334,                 1.1832,                0.72872,                0.64811,                0.69106,                0.38411,                0.74012,                0.64503,                0.69475,                0.37744,                 1.6968,                 2.5387,                 1.3464,                 1.5525,               0.009505,               0.009505,               0.009505
                      7,                 1.0655,                 1.6368,                0.73893,                 1.1472,                0.76456,                0.64229,                0.71087,                0.37445,                0.77892,                0.64411,                 0.7111,                0.36115,                 1.7754,                 2.6886,                 1.3454,                 1.5843,               0.009406,               0.009406,               0.009406
                      8,                 1.0368,                 1.5995,                0.70239,                 1.1348,                0.67593,                0.65183,                0.65455,                0.36162,                0.67544,                0.66041,                0.65595,                0.36256,                 1.7318,                 2.5667,                 1.3388,                 1.5938,               0.009307,               0.009307,               0.009307
                      9,                 1.0047,                 1.5602,                0.66421,                 1.1126,                 0.7537,                 0.5952,                0.65037,                0.32453,                0.73365,                0.58351,                0.62633,                0.30685,                 1.8613,                 2.7689,                 1.5162,                 1.7122,               0.009208,               0.009208,               0.009208
                     10,                0.96674,                 1.4989,                0.62151,                 1.0908,                0.77148,                0.65318,                0.70066,                 0.4019,                0.77675,                0.65764,                0.70454,                0.40249,                 1.7378,                 2.6236,                 1.2721,                 1.6312,               0.009109,               0.009109,               0.009109
                     11,                0.94968,                 1.4739,                0.61229,                 1.0799,                0.72399,                0.65303,                0.68937,                0.36242,                0.72937,                0.65518,                0.69033,                0.36571,                 1.8214,                 2.6305,                  1.362,                 1.6739,                0.00901,                0.00901,                0.00901
                     12,                0.92504,                 1.4403,                 0.5827,                 1.0679,                 0.7422,                0.66949,                0.69142,                0.34439,                0.74538,                0.66543,                0.69198,                0.34299,                 1.9484,                 2.7588,                 1.3186,                  1.755,               0.008911,               0.008911,               0.008911
                     13,                0.90777,                 1.4111,                0.56536,                 1.0608,                0.68708,                0.64965,                 0.6656,                0.37267,                0.68959,                0.66779,                0.67642,                0.37465,                 1.7777,                 2.7145,                 1.3061,                 1.5898,               0.008812,               0.008812,               0.008812
                     14,                0.89303,                 1.3913,                0.55041,                 1.0521,                0.73115,                0.66085,                0.72056,                0.34537,                0.73115,                0.66085,                0.71926,                0.35612,                 1.9681,                 2.7361,                 1.3144,                 1.8062,               0.008713,               0.008713,               0.008713
                     15,                0.87315,                 1.3688,                0.53222,                 1.0424,                 0.6657,                0.56659,                0.60184,                0.31321,                0.65565,                0.58997,                 0.6149,                0.32245,                 1.9169,                 2.5363,                   1.49,                 1.6702,               0.008614,               0.008614,               0.008614
                     16,                0.85832,                 1.3464,                0.52155,                 1.0349,                0.77222,                 0.6598,                0.71409,                  0.401,                 0.7752,                0.67251,                0.72282,                0.40445,                  1.805,                  2.564,                 1.2922,                 1.6214,               0.008515,               0.008515,               0.008515
                     17,                0.84683,                 1.3256,                 0.5076,                 1.0259,                0.73265,                 0.5952,                0.65984,                0.37853,                0.74514,                0.60535,                0.67364,                0.38479,                  1.754,                 2.4899,                 1.4514,                 1.6055,               0.008416,               0.008416,               0.008416
                     18,                0.82504,                 1.2966,                 0.4945,                 1.0146,                0.72993,                0.63018,                0.67849,                0.35868,                  0.752,                0.62118,                0.68593,                0.36259,                 1.8924,                  2.757,                 1.3505,                  1.692,               0.008317,               0.008317,               0.008317
                     19,                 0.8165,                 1.2767,                0.48379,                 1.0097,                0.77355,                0.66103,                0.71989,                0.39002,                0.77527,                0.66595,                0.72328,                0.38669,                 1.8342,                 2.7997,                 1.2052,                 1.6822,               0.008218,               0.008218,               0.008218
                     20,                 0.8119,                 1.2735,                0.48277,                 1.0102,                 0.7418,                0.62391,                0.69869,                0.38786,                0.73474,                0.64412,                0.70585,                0.39259,                 1.7934,                  2.662,                 1.2699,                 1.5952,               0.008119,               0.008119,               0.008119
