                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6573,                 2.8295,                 2.5736,                 1.6025,                0.61882,                   0.55,                0.59556,                0.30229,                 0.5981,                0.53158,                0.55811,                0.27224,                 1.6036,                 2.9435,                 2.3219,                 1.6279,             0.00066462,             0.00066462,             0.00066462
                      2,                 1.6391,                 2.6143,                 1.8973,                 1.5519,                0.67787,                0.57368,                0.63334,                0.36041,                0.67857,                0.57105,                0.62437,                0.32403,                 1.5547,                 2.9058,                 1.7531,                 1.5162,              0.0013107,              0.0013107,              0.0013107
                      3,                 1.6069,                 2.5954,                 1.7026,                 1.5324,                0.69898,                0.64474,                0.71564,                0.36302,                0.70371,                0.63421,                0.70788,                0.35467,                 1.6704,                 2.5377,                  1.663,                 1.6256,              0.0019361,              0.0019361,              0.0019361
                      4,                 1.5747,                 2.4971,                 1.5719,                 1.5252,                0.72292,                0.66579,                0.74284,                 0.4063,                0.72292,                0.66579,                0.72843,                0.38863,                 1.5422,                 2.4677,                 1.3966,                 1.5105,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.5081,                 2.3998,                  1.465,                 1.4865,                0.80629,                0.73684,                0.79299,                0.46931,                0.80053,                0.73158,                0.78486,                0.43951,                 1.4816,                 2.5244,                 1.1815,                 1.4332,              0.0018763,              0.0018763,              0.0018763
                      6,                 1.4835,                 2.3224,                  1.358,                 1.4349,                0.78059,                0.71152,                 0.7465,                 0.4179,                0.76904,                0.70099,                0.73396,                0.39087,                 1.5117,                 2.5643,                 1.2526,                 1.4511,              0.0018453,              0.0018453,              0.0018453
                      7,                 1.4382,                 2.2761,                 1.2657,                 1.4117,                0.82776,                0.73947,                0.81806,                0.48049,                0.82132,                0.73421,                0.79935,                0.45749,                 1.4517,                  2.314,                 1.1113,                 1.4071,              0.0018144,              0.0018144,              0.0018144
                      8,                 1.3933,                  2.195,                  1.206,                  1.375,                0.81842,                0.76579,                0.81965,                0.49986,                0.80671,                0.76316,                0.81102,                0.47009,                 1.3977,                 2.2424,                 1.0738,                 1.4113,              0.0017834,              0.0017834,              0.0017834
                      9,                 1.4022,                 2.1816,                  1.224,                 1.3923,                0.81028,                0.76579,                0.82781,                0.50079,                0.80298,                 0.7615,                0.82274,                0.48088,                 1.4378,                  2.261,                 1.0545,                 1.4109,              0.0017525,              0.0017525,              0.0017525
                     10,                 1.4011,                 2.1821,                 1.1901,                 1.3918,                0.79904,                0.76382,                0.80875,                0.49026,                0.79617,                0.76067,                0.80098,                0.45856,                 1.4232,                 2.3069,                 1.0531,                 1.4043,              0.0017216,              0.0017216,              0.0017216
                     11,                 1.3521,                 2.1082,                 1.1412,                 1.3578,                0.79964,                0.77105,                0.81159,                0.48218,                0.79418,                0.76579,                0.81024,                0.46166,                 1.4202,                  2.308,                 1.0625,                 1.3886,              0.0016906,              0.0016906,              0.0016906
                     12,                 1.3576,                 2.1499,                 1.0986,                 1.3455,                0.89681,                0.69474,                0.84293,                0.52367,                0.88931,                0.68158,                0.82118,                0.49688,                 1.3663,                 2.2449,                 1.0144,                 1.3592,              0.0016597,              0.0016597,              0.0016597
                     13,                 1.3158,                 2.0545,                 1.0641,                 1.3234,                0.81199,                0.76053,                0.84233,                0.50951,                0.80341,                0.75281,                0.83161,                0.48357,                 1.4691,                 2.1968,                 1.0375,                 1.4249,              0.0016287,              0.0016287,              0.0016287
                     14,                 1.2993,                  2.036,                 1.0755,                 1.3129,                0.83747,                0.77294,                  0.849,                0.49786,                0.82659,                0.75266,                0.83133,                0.47549,                 1.4714,                 2.2161,                 1.0096,                 1.4407,              0.0015978,              0.0015978,              0.0015978
                     15,                 1.2859,                 2.0494,                 1.0505,                 1.3111,                0.83195,                0.76579,                0.82274,                0.50099,                0.82963,                0.76316,                0.81849,                0.47148,                 1.4343,                 2.2247,                 1.0879,                 1.4325,              0.0015669,              0.0015669,              0.0015669
                     16,                  1.261,                 2.0033,                 1.0215,                 1.2928,                0.86292,                0.69474,                0.82419,                0.49397,                0.88046,                0.68684,                0.81839,                0.46814,                 1.4058,                 2.2232,                  1.041,                  1.397,              0.0015359,              0.0015359,              0.0015359
                     17,                 1.2525,                 2.0165,                0.98123,                 1.2835,                0.81985,                0.75789,                0.82831,                0.48514,                0.80854,                0.74457,                0.81391,                0.46509,                 1.4245,                  2.283,                 1.0399,                 1.4243,               0.001505,               0.001505,               0.001505
                     18,                 1.2557,                 1.9849,                0.97402,                  1.282,                0.82596,                0.74931,                0.83799,                0.51135,                  0.795,                0.74501,                0.81477,                0.48668,                 1.3928,                 2.2757,                0.98204,                 1.3916,              0.0014741,              0.0014741,              0.0014741
                     19,                  1.244,                 1.9521,                0.94008,                 1.2789,                0.84612,                   0.75,                0.83671,                0.50251,                0.85423,                 0.7402,                0.83098,                0.48222,                  1.409,                 2.2197,                0.98021,                 1.4061,              0.0014431,              0.0014431,              0.0014431
                     20,                 1.2237,                 1.9421,                0.92626,                 1.2647,                 0.8418,                0.73421,                0.83345,                0.51079,                0.84519,                0.73158,                0.82772,                0.49001,                  1.382,                 2.1557,                0.95887,                 1.3756,              0.0014122,              0.0014122,              0.0014122
                     21,                 1.2155,                 1.9163,                0.91584,                 1.2511,                0.87425,                   0.75,                0.84429,                0.51563,                0.88377,                0.72032,                0.82627,                0.48427,                 1.3963,                 2.1509,                0.96178,                 1.3893,              0.0013813,              0.0013813,              0.0013813
                     22,                 1.1944,                 1.9246,                0.90104,                 1.2433,                0.81748,                0.77895,                0.83022,                0.49361,                0.80059,                0.75011,                0.82044,                0.48194,                   1.43,                 2.1726,                0.99008,                 1.3943,              0.0013503,              0.0013503,              0.0013503
                     23,                 1.1903,                 1.9033,                0.88852,                  1.242,                0.76506,                0.76269,                0.82467,                0.50193,                0.75681,                0.74474,                0.80744,                0.48469,                 1.4289,                 2.2022,                0.98332,                  1.404,              0.0013194,              0.0013194,              0.0013194
                     24,                 1.1621,                 1.8356,                0.84816,                 1.2099,                0.85029,                0.77895,                0.85119,                0.52242,                0.84391,                0.76316,                0.83477,                 0.5035,                 1.3772,                 2.2089,                0.90709,                 1.3937,              0.0012884,              0.0012884,              0.0012884
                     25,                 1.1865,                 1.8585,                 0.8669,                 1.2407,                0.85225,                0.81967,                 0.8728,                 0.5404,                0.83808,                0.80365,                0.85497,                0.52255,                 1.3707,                 2.1601,                0.92346,                 1.3866,              0.0012575,              0.0012575,              0.0012575
                     26,                 1.1429,                 1.8013,                0.83229,                 1.2195,                0.85111,                0.76579,                0.85682,                0.52092,                 0.8429,                0.75789,                   0.85,                0.49725,                 1.4502,                 2.1286,                0.90902,                  1.439,              0.0012266,              0.0012266,              0.0012266
